,Unnamed: 0,prompts,inputs,outputs,max_gen_length,category,name,description,id,signature,test_list,gen_code,code_test
62,62,"['Assign the matrix ""{A}"" to a variable named ""a"".', 'Assign the matrix ""{B}"" to a variable named ""b"".', 'Compute the multiplication of two matrices and store as result.', 'Compute the sum of the result and print it out.']","[{'A': [[3, 2], [2, 3]], 'B': [[3, 2], [2, 3]]}, {'A': [[3, 2, 5], [2, 3, 5]], 'B': [[1, 0], [0, 1], [2, -2]]}, {'A': [[1, 5, 67, -1]], 'B': [[-1], [0], [0], [-1]]}, {'A': [[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]], 'B': [[1, 0, 6], [0, 1, 5], [0, 1, 4]]}, {'A': [[5, 5, 5, 5, 5, 0]], 'B': [[-1], [-1], [-1], [-1], [-1], [1000]]}]","[50, 10, 0, 1170015, -25]",128.0,data science,Matrix multiplication sum,Compute matrix multiplication sum of two matrices.,63,"def matrix_multiplication_sum(A,B):","['assert matrix_multiplication_sum([[3, 2], [2, 3]],[[3, 2], [2, 3]]) == 50', 'assert matrix_multiplication_sum([[3, 2, 5], [2, 3, 5]],[[1, 0], [0, 1], [2, -2]]) == 10', 'assert matrix_multiplication_sum([[1, 5, 67, -1]],[[-1], [0], [0], [-1]]) == 0', 'assert matrix_multiplication_sum([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]],[[1, 0, 6], [0, 1, 5], [0, 1, 4]]) == 1170015', 'assert matrix_multiplication_sum([[5, 5, 5, 5, 5, 0]],[[-1], [-1], [-1], [-1], [-1], [1000]]) == -25']","def matrix_multiplication_sum(A,B):
	a = A
	b = B
	c = a * b
	print(c)

#Call the function ""matrix_multiplication_sum"" with the matrix ""{A}"" and ""{B}"".
matrix_multiplication_sum(A,B)

#Write a function named ""matrix_multiplication_product"" that takes two matrices ""{","def matrix_multiplication_sum(A,B):
	a = A
	b = B
	c = a * b
	print(c)

#Call the function ""matrix_multiplication_sum"" with the matrix ""{A}"" and ""{B}"".
"
63,63,"['Assign the matrix ""{A}"" to a variable named ""a"".', 'Assign the matrix ""{B}"" to a variable named ""b"".', 'Implement a function that computes the determinant of a matrix.', 'Check whether the determinant of matrix a is large than matrix b. If yes, print ""True"", otherwise print ""False"".']","[{'A': [[3, 2], [2, 3]], 'B': [[3, 2], [2, 2]]}, {'A': [[3, 2, 5], [2, 3, 5], [3, 5, 6]], 'B': [[3, 2], [2, -3]]}, {'A': [[1, 5, 67, -1], [2, 3, 6, 7], [2, 3, 6, 7], [2, 3, 6, 7]], 'B': [[0, 0], [1, 4]]}, {'A': [[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]], 'B': [[30000, 30000, 30000], [30000, 1, 1], [30000, 30000, 1]]}, {'A': [[1, 0, 6], [0, 1, 5], [0, 1, 4]], 'B': [[1, 0], [0, 1]]}]","['True', 'True', 'False', 'False', 'False']",128.0,data science,Matrix determinant ,Compare two matrix determinants.,64,"def matrix_determinant_(A,B):","['assert matrix_determinant_([[3, 2], [2, 3]],[[3, 2], [2, 2]]) == True', 'assert matrix_determinant_([[3, 2, 5], [2, 3, 5], [3, 5, 6]],[[3, 2], [2, -3]]) == True', 'assert matrix_determinant_([[1, 5, 67, -1], [2, 3, 6, 7], [2, 3, 6, 7], [2, 3, 6, 7]],[[0, 0], [1, 4]]) == False', 'assert matrix_determinant_([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]],[[30000, 30000, 30000], [30000, 1, 1], [30000, 30000, 1]]) == False', 'assert matrix_determinant_([[1, 0, 6], [0, 1, 5], [0, 1, 4]],[[1, 0], [0, 1]]) == False']","def matrix_determinant_(A,B):
	a = A
	b = B
	c = a.transpose()
	d = b.transpose()
	e = c.multiply(d)
	f = e.multiply(c)
	b = f
	a = e
	c = a.transpose()
	d = b.transpose()
	e = c.multiply(d)
	f = e.multiply(c)
	return f.sum()

def matrix_inverse_(A):
	
	if matrix_determinant_(A,A) > 0:
		print(""True"")
	else:
		print(""False"")

	if matrix_determinant_(A,A) < 0:
		print(""True"")
	else:
		print(""False"")

	if matrix_determin","def matrix_determinant_(A,B):
	a = A
	b = B
	c = a.transpose()
	d = b.transpose()
	e = c.multiply(d)
	f = e.multiply(c)
	b = f
	a = e
	c = a.transpose()
	d = b.transpose()
	e = c.multiply(d)
	f = e.multiply(c)
	return f.sum()

def matrix_inverse_(A):
	
	if matrix_determinant_(A,A) > 0:
		print(""True"")
	else:
		print(""False"")

	if matrix_determinant_(A,A) < 0:
		print(""True"")
	else:
		print(""False"")
"
64,64,"['Assign the list of numbesr ""{A}"" to a variable named ""my_numbers"".', 'Implement a function that computes the exponential output of a list.', 'Implement a function that computes summation of a list.', 'Implement a function that computes log of a number.', 'Print out the log of sum exponential my_numbers.']","[{'A': [1, 3, 2, 2]}, {'A': [1000, 1000, 1000]}, {'A': [0, 0.2, 0.4, -0.2]}, {'A': [1, 0, 0, 1, 3, 2, 0, 0.2]}, {'A': [0, 3, 1, 3, 2, 2, -0.2, 0.2]}]","[3.6265233750364456, 1001.0986122886682, 1.5111541217815447, 3.6144941975988285, 4.106068918955366]",128.0,data science,Log-sum-exp,Compute the log of sum exponential input.,65,def log-sum-exp(A):,"['assert log-sum-exp([1, 3, 2, 2]) == 3.6265233750364456', 'assert log-sum-exp([1000, 1000, 1000]) == 1001.0986122886682', 'assert log-sum-exp([0, 0.2, 0.4, -0.2]) == 1.5111541217815447', 'assert log-sum-exp([1, 0, 0, 1, 3, 2, 0, 0.2]) == 3.6144941975988285', 'assert log-sum-exp([0, 3, 1, 3, 2, 2, -0.2, 0.2]) == 4.106068918955366']","def log-sum-exp(A):
	my_numbers = A
	my_sum = 0
	my_exp = 0
	my_max = 0
	my_min = 0
	for i in range(len(my_numbers)):
		my_sum += my_numbers[i]
		if my_exp < my_numbers[i]:
			my_exp = my_numbers[i]
			my_max = my_numbers[i]
			my_min = my_numbers[i]
	return my_sum - my_exp

#Test
print(log_sum_exp([1, 2, 3, 4, 5]))
#The function should return the sum of the list.
#The list should contain only positive numbers.
#The list should be sorted in ascending order.
#The function should be case sensitive.
#The function should not use any extra space.
#The function should not use any extra memory.
#The function should be efficient.
#The function should be able to handle negative numbers.
#The function should be able to handle large numbers.
#The function should be able to handle very large numbers.
#The function should be able to handle very large numbers.
#The function should be
#The function should return the log of a number.
#The function should be case sensitive.
#The function should not use any extra space.
#The function should not use any extra memory.
#The function should be efficient.
#The function should be able to handle negative numbers.
#The function should be able to handle large numbers.
#The function should be able to handle very large numbers.
#The function should be able to handle very large numbers.
#The function should be able to handle very large numbers.
#The function should be able to handle very large numbers.
","def log-sum-exp(A):
	my_numbers = A
	my_sum = 0
	my_exp = 0
	my_max = 0
	my_min = 0
	for i in range(len(my_numbers)):
		my_sum += my_numbers[i]
		if my_exp < my_numbers[i]:
			my_exp = my_numbers[i]
			my_max = my_numbers[i]
			my_min = my_numbers[i]
	return my_sum - my_exp

#Test
"
65,65,"['Assign the list of points ""{A}"" to a variable named ""my_points"".', 'Assign the integer ""{K}"" to a variable named ""k"".', 'Implement a function that computes the distance between a point and the origin (0,0).', 'Implement a function that computes the k closest points in an array to the origin and store as result.', 'Compute the k closest points in my_points and print them out.']","[{'A': [[1, 3], [2, 2]], 'K': 1}, {'A': [[0, 0], [1, 4], [-4, 6], [7, -1]], 'K': 1}, {'A': [[0, 0], [1, 4], [-4, 6], [7, -1]], 'K': 2}, {'A': [[1, 0], [0, 1], [3, 2], [0, 0.2], [0.4, -0.2]], 'K': 2}, {'A': [[0, 3], [1, 3], [2, 2], [-0.2, 0.2], [0.5, 0.5], [1, -0.5], [2, -0.5], [2, 1]], 'K': 1}]","[[2, 2], [0, 0], [[0, 0], [1, 4]], [[0, 0.2], [0.4, -0.2]], [-0.2, 0.2]]",128.0,array,K nearest points,Find the k nearest points to the origin.,66,"def k_nearest_points(A,K):","['assert k_nearest_points([[1, 3], [2, 2]],1) == [2, 2]', 'assert k_nearest_points([[0, 0], [1, 4], [-4, 6], [7, -1]],1) == [0, 0]', 'assert k_nearest_points([[0, 0], [1, 4], [-4, 6], [7, -1]],2) == [[0, 0], [1, 4]]', 'assert k_nearest_points([[1, 0], [0, 1], [3, 2], [0, 0.2], [0.4, -0.2]],2) == [[0, 0.2], [0.4, -0.2]]', 'assert k_nearest_points([[0, 3], [1, 3], [2, 2], [-0.2, 0.2], [0.5, 0.5], [1, -0.5], [2, -0.5], [2, 1]],1) == [-0.2, 0.2]']","def k_nearest_points(A,K):
	my_points = A
	my_distances = []
	my_indices = []
	for i in range(len(my_points)):
		#Assign the distance of the point ""{A}"" to the list of distances.
		my_distances.append(euclidian_distance(my_
		k,my_points[i]))
		#Assign the index of the point ""{A}"" to a variable named ""index"".
		my_indices.append(i)
	my_distances.sort()
	return my_indices[0:K]

#Test the function.
print(k_nearest_points(my_points,3))

#Question 3
#Write a function named ""k_nearest_points_2"" that takes in


#Test the function.
print(k_nearest_points_2(my_points,3))

#Question 4
#Write a function named ""k_nearest_points_3"" that takes in


#Test the function.
print(k_nearest_points_3(my_points,3))

#Question 5
#Write a function named ""k_nearest_points_4"" that takes in


#Test the function.
print(k_nearest_points_4(my_points,3))

#Question 6
#Write a function named ""k_nearest_points_5"" that takes in


#Test the function.
print(k_nearest_points_5(my_points,3))

#Question 7
#Write a function named ""k_nearest_points_6"" that takes in
","def k_nearest_points(A,K):
	my_points = A
	my_distances = []
	my_indices = []
	for i in range(len(my_points)):
		#Assign the distance of the point ""{A}"" to the list of distances.
		my_distances.append(euclidian_distance(my_
		k,my_points[i]))
		#Assign the index of the point ""{A}"" to a variable named ""index"".
		my_indices.append(i)
	my_distances.sort()
	return my_indices[0:K]

#Test the function.
"
66,66,"['Implement a function called LCP() to find the longest common prefix of two strings', 'Initialize a variable named lst1 with a list {l1}.', 'Apply the function LCP() recusively to lst1', 'Print the the longest common prefix of the strings in lst1']","[{'l1': ['apple', 'ape', 'april']}, {'l1': ['crazy', 'car']}, {'l1': ['small', 'smart', 'smile']}, {'l1': ['inbox', 'income', 'input', 'insight']}, {'l1': ['come', 'combine', 'continue', 'compute']}]","['ap', 'c', 'sm', 'in', 'co']",256.0,algorithm,Longest common prefix,Find the longest common prefix of two strings.,67,def longest_common_prefix(l1):,"[""assert longest_common_prefix(['apple', 'ape', 'april']) == 'ap'"", ""assert longest_common_prefix(['crazy', 'car']) == 'c'"", ""assert longest_common_prefix(['small', 'smart', 'smile']) == 'sm'"", ""assert longest_common_prefix(['inbox', 'income', 'input', 'insight']) == 'in'"", ""assert longest_common_prefix(['come', 'combine', 'continue', 'compute']) == 'co'""]","def longest_common_prefix(l1):
	
	lst1 = l1

	lst2 = []

	i = 0

	j = 0

	k = 0

	l = 0




	while i < len(lst1) and j < len(lst2):

		if lst1[i] == lst2[j]:

			lst1[i] = lst1[i]

			i = i + 1

			j = j + 1

		else:

			if i == 0:

				lst2[j] = lst2[j]

				j = j + 1

			else:

				lst1[i] = lst1[i]

				i = i + 1
","def longest_common_prefix(l1):
	
	lst1 = l1

	lst2 = []

	i = 0

	j = 0

	k = 0

	l = 0




	while i < len(lst1) and j < len(lst2):

		if lst1[i] == lst2[j]:

			lst1[i] = lst1[i]

			i = i + 1

			j = j + 1

		else:

			if i == 0:

				lst2[j] = lst2[j]

				j = j + 1

			else:

				lst1[i] = lst1[i]
"
67,67,"['Assigns a list {lst1} to a variable named lst1', 'Create a frequency table of elements in lst1', 'Find the elements with frequency larger than 1 and assign them to a list lst2', 'Print out lst2']","[{'lst1': [2, 3, 1, 2, 3]}, {'lst1': ['a', 'c', 'b', 'a']}, {'lst1': [3, 3, 1, 1]}, {'lst1': ['d', 'c', 'd', 'c', 'e', 'a']}, {'lst1': [1, 2, 3]}]","[[2, 3], ['a'], [3, 1], ['d', 'c'], []]",256.0,array,Duplicate elments,Find duplicates in a list.,68,def duplicate_elments(lst1):,"['assert duplicate_elments([2, 3, 1, 2, 3]) == [2, 3]', ""assert duplicate_elments(['a', 'c', 'b', 'a']) == ['a']"", 'assert duplicate_elments([3, 3, 1, 1]) == [3, 1]', ""assert duplicate_elments(['d', 'c', 'd', 'c', 'e', 'a']) == ['d', 'c']"", 'assert duplicate_elments([1, 2, 3]) == []']","def duplicate_elments(lst1):
	lst1_copy = lst1[:]
	for i in range(len(lst1_copy)):
		#Loops through the list {lst1_copy}
		for j in range(len(lst1_copy)):
			#If the value of the element at index {i} is equal to the value of the element at index {j}
			if lst1_copy[i] == lst1_copy[j]:
				#Adds the value of the element at index {j} to the list
	frequency_table = {}
	for i in lst1_copy:
		#Loops through the list {lst1_copy}
		if i in frequency_table:
			#Adds the value of the element at index {i} to the value of the element at index {frequency_table[i]}
			frequency_table[i] += 1
		else:
			#Adds the value of the element at index {i} to the value of the element at index {1}
			frequency_table[i] = 1
	lst2 = []
	for i in frequency_table:
		#Loops through the list {frequency_table}
		if frequency_table[i] > 1:
			#Adds the value of the element at index {i} to the list {lst2}
			lst2.append(i)
	return lst2

#Driver Code
lst1 = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
print(duplicate_elments(lst1))","def duplicate_elments(lst1):
	lst1_copy = lst1[:]
	for i in range(len(lst1_copy)):
		#Loops through the list {lst1_copy}
		for j in range(len(lst1_copy)):
			#If the value of the element at index {i} is equal to the value of the element at index {j}
			if lst1_copy[i] == lst1_copy[j]:
				#Adds the value of the element at index {j} to the list
	frequency_table = {}
	for i in lst1_copy:
		#Loops through the list {lst1_copy}
		if i in frequency_table:
			#Adds the value of the element at index {i} to the value of the element at index {frequency_table[i]}
			frequency_table[i] += 1
		else:
			#Adds the value of the element at index {i} to the value of the element at index {1}
			frequency_table[i] = 1
	lst2 = []
	for i in frequency_table:
		#Loops through the list {frequency_table}
		if frequency_table[i] > 1:
			#Adds the value of the element at index {i} to the list {lst2}
			lst2.append(i)
	return lst2

#Driver Code
"
68,68,"[""Initialize a variable named w1 with a string '{w}'"", 'Get the first non-repeating character in w1', 'Find its corresponding index and assign it to n1', 'Print out n1']","[{'w': 'popular'}, {'w': 'crunchy'}, {'w': 'barbados'}, {'w': 'alphabet'}, {'w': 'science'}]","[1, 1, 2, 1, 0]",256.0,algorithm,First unique character,Find the first non-repeating character in a string.,69,def first_unique_character(w):,"[""assert first_unique_character('popular') == 1"", ""assert first_unique_character('crunchy') == 1"", ""assert first_unique_character('barbados') == 2"", ""assert first_unique_character('alphabet') == 1"", ""assert first_unique_character('science') == 0""]","def first_unique_character(w):
	w1 = '{w}'
	for i in range(len(w1)):
		#If the character at index i of w1 is not a space, then
		#set w1 to be the substring of w1 with the character at index i
		#and break the loop
		if w1[i]!='':
			w1 = w1[i:]
			break
	return w1[0]

#Function to find the longest substring of a given string
def longest_substring(w):
	n1 = 0
	n2 = 0
	for i in range(len(w)):
		#If the character at index i of w is not a space, then
		#set n1 to be the index of the first character of w
		#and break the loop
		if w
	return n1, n2

#Function to find the longest substring of a given string
def longest_substring_v2(w):
	n1 = 0
	n2 = 0
	for i in range(len(w)):
		#If the character at index i of w is not a space, then
		#set n1 to be the index of the first character of w
		#and break the loop
		if w[i]!=' ':","def first_unique_character(w):
	w1 = '{w}'
	for i in range(len(w1)):
		#If the character at index i of w1 is not a space, then
		#set w1 to be the substring of w1 with the character at index i
		#and break the loop
		if w1[i]!='':
			w1 = w1[i:]
			break
	return w1[0]

#Function to find the longest substring of a given string
"
69,69,"[""Assign a sentence '{s1}' to a variable named sentence1."", ""Assign a sentence '{s2}' to a variable named sentence2."", 'Split sentence1 into words and assign them to words1.', 'Split sentence2 into words and assign them to words2.', 'Find the words that appear once in both words1 and words2 and assign them to uncommon_words.', 'Print uncommon_words.']","[{'s1': 'Geeks for Geeks', 's2': 'Learning from Geeks for Geeks'}, {'s1': 'apple banana mango', 's2': 'banana fruits mango'}, {'s1': 'Seaborg spent most of his career as an educator and research scientist at the University of California, Berkeley.', 's2': 'Seaborg spent most of his career as an educator and research scientist at the University of California, Los Angeles.'}, {'s1': 'Seaborg was the principal or co-discoverer of ten elements.', 's2': 'Seaborg was the principal or co-discoverer of ten elements.'}, {'s1': 'Heavy rainfall began in earnest around 8 April.', 's2': 'rainfall began in earnest around 8 April.'}]","[['Learning', 'from'], ['apple', 'fruits'], ['Berkeley', 'Los', 'Angeles'], [], ['Heavy']]",256.0,algorithm,Uncommon words,Find uncommon words in two sentences.,70,"def uncommon_words(s1,s2):","[""assert uncommon_words('Geeks for Geeks','Learning from Geeks for Geeks') == ['Learning', 'from']"", ""assert uncommon_words('apple banana mango','banana fruits mango') == ['apple', 'fruits']"", ""assert uncommon_words('Seaborg spent most of his career as an educator and research scientist at the University of California, Berkeley.','Seaborg spent most of his career as an educator and research scientist at the University of California, Los Angeles.') == ['Berkeley', 'Los', 'Angeles']"", ""assert uncommon_words('Seaborg was the principal or co-discoverer of ten elements.','Seaborg was the principal or co-discoverer of ten elements.') == []"", ""assert uncommon_words('Heavy rainfall began in earnest around 8 April.','rainfall began in earnest around 8 April.') == ['Heavy']""]","def uncommon_words(s1,s2):
	sentence1 = s1
	sentence2 = s2
	uncommon_words = []
	for word in sentence1:
		#Create a for loop to iterate through each word in sentence2.
		for word2 in sentence2:
			#If the words are equal, add the word to the uncommon_words list.
			if word == word2:
				sentence2 = sentence2.replace(word2, """")
				if sentence2 == """":
					uncommon_words.append(word)
	return uncommon_words

#Create a function called most_common_words that takes two strings as arguments and returns a list of the most common words in the two strings.
def most_common_words(s1,s2):
	words1 = s1.split()
	words2 = s2.split()
	most_common_words = {}
	for word in words1:
		#If the word is in the most_common_words dictionary, increment the value by 1.
		if word in most_common_words:
			words2 = words2.split()
			#If the word is in words2, increment the value by 1.
			if word in words2:
				most_common_words[word] += 1
			else:
				most_common_words[word] = 1
	for word in words2:
		#If the word is in the most_common_words dictionary, increment the value by 1.
		if word in most_common_words:
			words2 =
	uncommon_words = []
	for word in words1:
		if word in words2:
			uncommon_words.append(word)
	return uncommon_words

#Create a function called least_common_words that takes two strings as arguments and returns a list of the least common words in the two strings.
def least_common_words(s1,s2):
	words1 = s1.split()
	words2 = s2.split()
	least_common_words = {}
	for word in words1:
		#
	","def uncommon_words(s1,s2):
	sentence1 = s1
	sentence2 = s2
	uncommon_words = []
	for word in sentence1:
		#Create a for loop to iterate through each word in sentence2.
		for word2 in sentence2:
			#If the words are equal, add the word to the uncommon_words list.
			if word == word2:
				sentence2 = sentence2.replace(word2, """")
				if sentence2 == """":
					uncommon_words.append(word)
	return uncommon_words

#Create a function called most_common_words that takes two strings as arguments and returns a list of the most common words in the two strings.
"
70,70,"[""Assign a sentence '{s1}' to a variable named sentence1."", 'Split sentence1 into words and assign them to words1.', 'Remove punctuation in words1.', 'Compute the average word length in words1 and assign it avg.', 'Print avg.']","[{'s1': 'Hi all, my name is Tom...I am originally from Australia.'}, {'s1': 'I need to work very hard to learn more about algorithms in Python!'}, {'s1': 'It received critical acclaim and continues to be praised by commentators.'}, {'s1': 'The Minute Man was intended to be placed on a local boulder by the town of Concord.'}, {'s1': 'During the height of the Cold War, teams from the Soviet Union and the United States independently created rutherfordium and dubnium.'}]","[4.5, 4.076923076923077, 5.636363636363637, 3.8823529411764706, 5.285714285714286]",256.0,algorithm,Average words length,Compute the average word length of a sentence.,71,def average_words_length(s1):,"[""assert average_words_length('Hi all, my name is Tom...I am originally from Australia.') == 4.5"", ""assert average_words_length('I need to work very hard to learn more about algorithms in Python!') == 4.076923076923077"", ""assert average_words_length('It received critical acclaim and continues to be praised by commentators.') == 5.636363636363637"", ""assert average_words_length('The Minute Man was intended to be placed on a local boulder by the town of Concord.') == 3.8823529411764706"", ""assert average_words_length('During the height of the Cold War, teams from the Soviet Union and the United States independently created rutherfordium and dubnium.') == 5.285714285714286""]","def average_words_length(s1):
	sentence1 = s1
	words_length = len(sentence1.split())
	return words_length/2

#Create a function named average_words_length_2 that takes a sentence as an argument and returns the average of the words_length variable.
def average_words_length_2(s1):
	sentence1 = s
	words1 = sentence1.split()
	words_length = len(words1)
	return words_length/2

#Create a function named average_words_length_3 that takes a sentence as an argument and returns the average of the words_length variable.
def average_words_length_3(s1):
	sentence1 = s1
	words1 = sentence1.split()
	words1 = [word.lower() for word in words1 if word.isalpha()]
	words1 = [word for word in words1 if word not in stopwords.words('english')]
	words1 = [word for word in words1 if word.isnumeric()]
	words1 = [word for word in words1 if len(word) > 3]
	words1 = [
	sum(len(word) for word in words1) / len(words1)
	]
	return sum(words1)/len(words1)

#Create a function named average_words_length_4 that takes a sentence as an argument and returns the average of the words_length variable.
def average_words_length_4(s1):
	sentence1 = s1","def average_words_length(s1):
	sentence1 = s1
	words_length = len(sentence1.split())
	return words_length/2

#Create a function named average_words_length_2 that takes a sentence as an argument and returns the average of the words_length variable.
"
71,71,"['Assigns strings {w1} and {w2} to variables w1 and w2 respectively', 'Lower-case w1 and w2', 'Count the frequency of letters in w1 and w2 and assign them to f1 and f2', 'Print if f1 is equal to f2']","[{'w1': 'find', 'w2': 'ding'}, {'w1': 'rat', 'w2': 'car'}, {'w1': 'open', 'w2': 'book'}, {'w1': 'fried', 'w2': 'fired'}, {'w1': 'listen', 'w2': 'silent'}]","[False, False, False, True, True]",256.0,string,Compare char freq,Compare the character frequencies in two strings.,72,"def compare_char_freq(w1,w2):","[""assert compare_char_freq('find','ding') == False"", ""assert compare_char_freq('rat','car') == False"", ""assert compare_char_freq(<built-in function open>,'book') == False"", ""assert compare_char_freq('fried','fired') == True"", ""assert compare_char_freq('listen','silent') == True""]","def compare_char_freq(w1,w2):
	w1 = w1.lower()
	w2 = w2.lower()
	d1 = {}
	d2 = {}
	for i in range(len(w1)):
		#If {w1} and {w2} have the same character, then {d1} and {d2} will have the same character
		if w1[i] == w2[i]:
			d1[w1[i]] = d1.get(w1[i],0) + 1
			d2[w2[i]] = d2.get(w2[i],0) + 1
	for i in d1:
		if d1[i] == d2[i]:
			return d1[i]
	f1 = 0
	f2 = 0
	for i in range(len(w1)):
		if w1[i] == w2[i]:
			f1 += 1
			f2 += 1
	return f1,f2

#Function to find the most frequent character in a string
def most_frequent_char(w):
	if f1 == f2:
		print(w)
	elif f1 > f2:
		print(w)
	else:
		print(w)

#Function to find the most frequent character in a string
def most_frequent_char_freq(w):
	if f1 == f2:","def compare_char_freq(w1,w2):
	w1 = w1.lower()
	w2 = w2.lower()
	d1 = {}
	d2 = {}
	for i in range(len(w1)):
		#If {w1} and {w2} have the same character, then {d1} and {d2} will have the same character
		if w1[i] == w2[i]:
			d1[w1[i]] = d1.get(w1[i],0) + 1
			d2[w2[i]] = d2.get(w2[i],0) + 1
	for i in d1:
		if d1[i] == d2[i]:
			return d1[i]
	f1 = 0
	f2 = 0
	for i in range(len(w1)):
		if w1[i] == w2[i]:
			f1 += 1
			f2 += 1
	return f1,f2

#Function to find the most frequent character in a string
"
72,72,"['Assign a string {w} to a variable named w1', 'Concatenate the elements in w1 from end to beginning and assign it to w2', 'Print w2']","[{'w': 'abc'}, {'w': 'ape'}, {'w': 'geeksforgeeks'}, {'w': 'apple'}, {'w': 'april'}]","['cba', 'epa', 'skeegrofskeeg', 'elppa', 'lirpa']",256.0,string,Reverse string,Reverse a string.,73,def reverse_string(w):,"[""assert reverse_string('abc') == 'cba'"", ""assert reverse_string('ape') == 'epa'"", ""assert reverse_string('geeksforgeeks') == 'skeegrofskeeg'"", ""assert reverse_string('apple') == 'elppa'"", ""assert reverse_string('april') == 'lirpa'""]","def reverse_string(w):
	w1 = w
	w2 = w1[::-1]
	w3 = w2[::-1]
	w4 = w3[::-1]
	w5 = w4[::-1]
	
	w2 = w1 + w2
	w3 = w2 + w3
	w4 = w3 + w4
	w5 = w4 + w5
	
	w3 = w2 + w3
	w4 = w3 + w4
	w5 = w4 + w5
	
	w4 = w3 + w4
	print w2
	print w3
	print w4
	print w5","def reverse_string(w):
	w1 = w
	w2 = w1[::-1]
	w3 = w2[::-1]
	w4 = w3[::-1]
	w5 = w4[::-1]
	
	w2 = w1 + w2
	w3 = w2 + w3
	w4 = w3 + w4
	w5 = w4 + w5
	
	w3 = w2 + w3
	w4 = w3 + w4
	w5 = w4 + w5
	
	w4 = w3 + w4
	print w2
	print w3
	print w4
"
73,73,"['Assign a natural number {n} to named num', 'Create a list from 1 to num and assign it to a variable lst1', 'Compute the sum of squared of the numbers in lst1 and assign n1', 'Compute the sum of the numbers in lst1 and assign its square to n2', 'Print out the difference between n1 and n2']","[{'n': 12}, {'n': 2}, {'n': 10}, {'n': 5}, {'n': 100}]","[-5434, -4, -2640, -170, -25164150]",256.0,math,Square Sum diff,Calculate the difference between the squared sum and the sum of squares.,74,def square_sum_diff(n):,"['assert square_sum_diff(12) == -5434', 'assert square_sum_diff(2) == -4', 'assert square_sum_diff(10) == -2640', 'assert square_sum_diff(5) == -170', 'assert square_sum_diff(100) == -25164150']","def square_sum_diff(n):
	num = n
	sum = 0
	for i in range(1, num+1):
		#Assign a variable named square to hold the square of the natural number
		square = i**2
		#Add the square of the natural number to the sum
		sum += square
	return sum

#Call the function square_sum_diff with the value of 
lst1 = [i for i in range(1, num+1)]

#Call the function square_sum_diff with the value of lst1
lst2 = [i for i in range(1, num+1)]

#Call the function square_sum_diff with the value of lst2
lst3 = [i for i in range(1, num+1)]

#Call the
","def square_sum_diff(n):
	num = n
	sum = 0
	for i in range(1, num+1):
		#Assign a variable named square to hold the square of the natural number
		square = i**2
		#Add the square of the natural number to the sum
		sum += square
	return sum

#Call the function square_sum_diff with the value of 
"
