,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prompts,inputs,outputs,max_gen_length,category,name,description,id,signature,gen_code,code_test,test_list
56,56,56,56,"['Assign an integer array ""{A}"" to a variable named ""my_array"".', 'Find the contiguous subarray of my_array with the largest sum and store as max_subarray.', 'Compute the sum of max_subarray and store as sum_subarry.', 'Print out the variable sum_subarray.']","[{'A': [1]}, {'A': [-1, 5]}, {'A': [-1, -1, -1, -1, 1]}, {'A': [-1000000, 1, 1]}, {'A': '[2, 2,2,2,2, 10000]', 'B': [-2, -1]}]","[1, 5, 1, 2, 10010, -1]",128.0,algorithm,Maximum subarray,Find the max contiguous subarray and return the sum.,57,"def maximum_subarray(A,B):","def maximum_subarray(A,B):
	#Assign an integer array ""{A}"" to a variable named ""my_array"".
	#Iterate over all values in ""{A}"" to count the length of the subarray.
	#Find the contiguous subarray of my_array with the largest sum and store as max_subarray.
	#Compute the sum of max_subarray and store as sum_subarry.
	#Print out the variable sum_subarray.","def maximum_subarray(A,B):
	#Assign an integer array ""{A}"" to a variable named ""my_array"".
	#Iterate over all values in ""{A}"" to count the length of the subarray.
	#Find the contiguous subarray of my_array with the largest sum and store as max_subarray.
	#Compute the sum of max_subarray and store as sum_subarry.
","['assert maximum_subarray([1]) == 1', 'assert maximum_subarray([-1, 5]) == 5', 'assert maximum_subarray([-1, -1, -1, -1, 1]) == 1', 'assert maximum_subarray([-1000000, 1, 1]) == 2', 'assert maximum_subarray([2, 2, 2, 2, 2, 10000],[-2, -1]) == 10010']"
57,57,57,57,"['Assign the positive number ""{A}"" to a variable named ""my_number"".', 'Compute the squre root of the number and store as square_root. ', 'Compute the largest integer but not larger than square_root and store as largest_square_root.', 'Print the integer largest_square_root.']","[{'A': 1}, {'A': 5}, {'A': 101}, {'A': 30}, {'A': 10000}]","[1, 2, 10, 5, 100]",128.0,algorithm,Max square root integer,Compute the largest integer but not larger than square root of one positive number.,58,def max_square_root_integer(A):,"def max_square_root_integer(A):
	#Assign the positive number ""{A}"" to a variable named ""my_number"".
	my_number = A
	#Compute the squre root of the number and store as square_root. 
#	square_root = math.sqrt(my_number)
	#Compute the largest integer but not larger than square_root and store as largest_square_root.
	#Print the integer largest_square_root.","def max_square_root_integer(A):
	#Assign the positive number ""{A}"" to a variable named ""my_number"".
	my_number = A
	#Compute the squre root of the number and store as square_root. 
","['assert max_square_root_integer(1) == 1', 'assert max_square_root_integer(5) == 2', 'assert max_square_root_integer(101) == 10', 'assert max_square_root_integer(30) == 5', 'assert max_square_root_integer(10000) == 100']"
58,58,58,58,"['Assign the list of words ""{A}"" to a variable named ""my_words"".', 'Count the length of the words in the list and store as a dictionary word_count. ', 'Find the element with the largest count in dictionary word_count and store as longest_word.', 'print the variable longest_word.']","[{'A': ['Hello', 'word']}, {'A': ['a', 'good', 'place']}, {'A': ['the', 'last', 'word', 'in', 'the', 'sentence']}, {'A': ['good']}, {'A': ['There', 'will', 'be', 'a', 'joy']}]","['Hello', 'place', 'sentence', 'good', 'There']",128.0,algorithm,Longest word,Find the longest word in a word list.,59,def longest_word(A):,"def longest_word(A):
	#Assign the list of words ""{A}"" to a variable named ""my_words"".
	my_words = A
	#Count the length of the words in the list and store as a dictionary word_count.  Use this as our key.
	word_count = dict(Counter(my_words))
	#Find the element with the largest count in dictionary word_count and store as longest_word.
	longest_word = max(word_count.items(), key=operator.itemgetter(1))[0]
	#print the variable longest_word.
	print(longest_word)","def longest_word(A):
	#Assign the list of words ""{A}"" to a variable named ""my_words"".
	my_words = A
	#Count the length of the words in the list and store as a dictionary word_count.  Use this as our key.
	word_count = dict(Counter(my_words))
	#Find the element with the largest count in dictionary word_count and store as longest_word.
	longest_word = max(word_count.items(), key=operator.itemgetter(1))[0]
	#print the variable longest_word.
","[""assert longest_word(['Hello', 'word']) == 'Hello'"", ""assert longest_word(['a', 'good', 'place']) == 'place'"", ""assert longest_word(['the', 'last', 'word', 'in', 'the', 'sentence']) == 'sentence'"", ""assert longest_word(['good']) == 'good'"", ""assert longest_word(['There', 'will', 'be', 'a', 'joy']) == 'There'""]"
59,59,59,59,"['Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".', 'Return the elements that appears exactly once in the above list and store as my_uniques.', 'Compute the sum of the list my_uniques and print it out.']","[{'A': '[1,2,3]'}, {'A': '[1,1,1,1]'}, {'A': '[-1,-2,-3,-3]'}, {'A': '[-1000000, 1, 1, 2,2,3,3,3,3]'}, {'A': '[-5, 1, -5, 0, -10]'}]","[6, 0, -3, -1000000, -9]",128.0,algorithm,Sum unique elements,Sum all the unique numbers in a list.,60,def sum_unique_elements(A):,"def sum_unique_elements(A):
	#Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".
	my_numbers = A
	#Return the elements that appears exactly once in the above list and store as my_uniques.
	return list(set(my_numbers))
	#Compute the sum of the list my_uniques and print it out.
	#return sum(my_uniques)","def sum_unique_elements(A):
	#Assign the list of numbers ""{A}"" to a variable named ""my_numbers"".
	my_numbers = A
	#Return the elements that appears exactly once in the above list and store as my_uniques.
	return list(set(my_numbers))
	#Compute the sum of the list my_uniques and print it out.
","['assert sum_unique_elements([1, 2, 3]) == 6', 'assert sum_unique_elements([1, 1, 1, 1]) == 0', 'assert sum_unique_elements([-1, -2, -3, -3]) == -3', 'assert sum_unique_elements([-1000000, 1, 1, 2, 2, 3, 3, 3, 3]) == -1000000', 'assert sum_unique_elements([-5, 1, -5, 0, -10]) == -9']"
60,60,60,60,"['Assign the matrix ""{A}"" to a variable named ""my_matrix"".', 'Find the diagonal elements of my matrix and store as diag_elements.', 'print out the sum of the variable diag_elements.']","[{'A': [[3, 2], [2, 3]]}, {'A': [[3, 2, 5], [2, 3, 5]]}, {'A': [1]}, {'A': [[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]]}, {'A': [5, 5, 5, 5, 5, 0]}]","[6, 6, 1, 60001, 5]",128.0,data science,Digonal sum,Compute the digonal sum of a matrix.,61,def digonal_sum(A):,"def digonal_sum(A):
	#Assign the matrix ""{A}"" to a variable named ""my_matrix"".
	my_matrix = np.array(A)
	#Find the diagonal elements of my matrix and store as diag_elements.
	diag_elements = my_matrix.diagonal()
	#print out the sum of the variable diag_elements.
	return sum(diag_elements)","def digonal_sum(A):
	#Assign the matrix ""{A}"" to a variable named ""my_matrix"".
	my_matrix = np.array(A)
	#Find the diagonal elements of my matrix and store as diag_elements.
	diag_elements = my_matrix.diagonal()
	#print out the sum of the variable diag_elements.
","['assert digonal_sum([[3, 2], [2, 3]]) == 6', 'assert digonal_sum([[3, 2, 5], [2, 3, 5]]) == 6', 'assert digonal_sum([1]) == 1', 'assert digonal_sum([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]]) == 60001', 'assert digonal_sum([5, 5, 5, 5, 5, 0]) == 5']"
61,61,61,61,"['Assign the matrix ""{A}"" to a variable named ""my_matrix"".', 'Assign the number ""{T}"" to a variable named ""t"".', 'Compute the condition number of my_matrix and store as result.', 'Check whether the result is smaller than t. If yes, return ""True"", otherwise return ""False"".']","[{'A': [[3, 2], [2, 3]], 'T': 1}, {'A': [[3, 2, 5], [2, 3, 5]], 'T': -1}, {'A': [[1, 5]], 'T': 2}, {'A': [[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]], 'T': 100}, {'A': [[5, 5, 5, 5, 5, 0]], 'T': 0.5}]","['False', 'False', 'True', 'False', 'False']",128.0,data science,Matrix condition number,Check conditon number of a matrix is less than a threshold.,62,"def matrix_condition_number(A,T):","def matrix_condition_number(A,T):
	#Assign the matrix ""{A}"" to a variable named ""my_matrix"".
	my_matrix=A
	#Assign the number ""{T}"" to a variable named ""t"".
	t=T
	#Compute the condition number of my_matrix and store as result.
	result=cond(my_matrix,t)
	#Check whether the result is smaller than t. If yes, return ""True"", otherwise return ""False"".
	if result<t:","def matrix_condition_number(A,T):
	#Assign the matrix ""{A}"" to a variable named ""my_matrix"".
	my_matrix=A
	#Assign the number ""{T}"" to a variable named ""t"".
	t=T
	#Compute the condition number of my_matrix and store as result.
	result=cond(my_matrix,t)
	#Check whether the result is smaller than t. If yes, return ""True"", otherwise return ""False"".
","['assert matrix_condition_number([[3, 2], [2, 3]],1) == False', 'assert matrix_condition_number([[3, 2, 5], [2, 3, 5]],-1) == False', 'assert matrix_condition_number([[1, 5]],2) == True', 'assert matrix_condition_number([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]],100) == False', 'assert matrix_condition_number([[5, 5, 5, 5, 5, 0]],0.5) == False']"
62,62,62,62,"['Assign the matrix ""{A}"" to a variable named ""a"".', 'Assign the matrix ""{B}"" to a variable named ""b"".', 'Compute the multiplication of two matrices and store as result.', 'Compute the sum of the result and print it out.']","[{'A': [[3, 2], [2, 3]], 'B': [[3, 2], [2, 3]]}, {'A': [[3, 2, 5], [2, 3, 5]], 'B': [[1, 0], [0, 1], [2, -2]]}, {'A': [[1, 5, 67, -1]], 'B': [[-1], [0], [0], [-1]]}, {'A': [[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]], 'B': [[1, 0, 6], [0, 1, 5], [0, 1, 4]]}, {'A': [[5, 5, 5, 5, 5, 0]], 'B': [[-1], [-1], [-1], [-1], [-1], [1000]]}]","[50, 10, 0, 1170015, -25]",128.0,data science,Matrix multiplication sum,Compute matrix multiplication sum of two matrices.,63,"def matrix_multiplication_sum(A,B):","def matrix_multiplication_sum(A,B):
	#Assign the matrix ""{A}"" to a variable named ""a"".
	a=A
	#Assign the matrix ""{B}"" to a variable named ""b"".
	b=B
	#Compute the multiplication of two matrices and store as result.
	#Assign the result to a variable named ""c"".
	#Compute the sum of the result and print it out.","def matrix_multiplication_sum(A,B):
	#Assign the matrix ""{A}"" to a variable named ""a"".
	a=A
	#Assign the matrix ""{B}"" to a variable named ""b"".
	b=B
	#Compute the multiplication of two matrices and store as result.
	#Assign the result to a variable named ""c"".
","['assert matrix_multiplication_sum([[3, 2], [2, 3]],[[3, 2], [2, 3]]) == 50', 'assert matrix_multiplication_sum([[3, 2, 5], [2, 3, 5]],[[1, 0], [0, 1], [2, -2]]) == 10', 'assert matrix_multiplication_sum([[1, 5, 67, -1]],[[-1], [0], [0], [-1]]) == 0', 'assert matrix_multiplication_sum([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]],[[1, 0, 6], [0, 1, 5], [0, 1, 4]]) == 1170015', 'assert matrix_multiplication_sum([[5, 5, 5, 5, 5, 0]],[[-1], [-1], [-1], [-1], [-1], [1000]]) == -25']"
63,63,63,63,"['Assign the matrix ""{A}"" to a variable named ""a"".', 'Assign the matrix ""{B}"" to a variable named ""b"".', 'Implement a function that computes the determinant of a matrix.', 'Check whether the determinant of matrix a is large than matrix b. If yes, print ""True"", otherwise print ""False"".']","[{'A': [[3, 2], [2, 3]], 'B': [[3, 2], [2, 2]]}, {'A': [[3, 2, 5], [2, 3, 5], [3, 5, 6]], 'B': [[3, 2], [2, -3]]}, {'A': [[1, 5, 67, -1], [2, 3, 6, 7], [2, 3, 6, 7], [2, 3, 6, 7]], 'B': [[0, 0], [1, 4]]}, {'A': [[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]], 'B': [[30000, 30000, 30000], [30000, 1, 1], [30000, 30000, 1]]}, {'A': [[1, 0, 6], [0, 1, 5], [0, 1, 4]], 'B': [[1, 0], [0, 1]]}]","['True', 'True', 'False', 'False', 'False']",128.0,data science,Matrix determinant ,Compare two matrix determinants.,64,"def matrix_determinant_(A,B):","def matrix_determinant_(A,B):
	#Assign the matrix ""{A}"" to a variable named ""a"".
	a = A
	#Assign the matrix ""{B}"" to a variable named ""b"".
	b = B
	#Implement a function that computes the determinant of a matrix.
	determinant = (b[0][0] * a[1][1] - b[0][1] * a[1][0])
	#Check whether the determinant of matrix a is large than matrix b. If yes, print ""True"", otherwise print ""False"".
	if determinant > 0:","def matrix_determinant_(A,B):
	#Assign the matrix ""{A}"" to a variable named ""a"".
	a = A
	#Assign the matrix ""{B}"" to a variable named ""b"".
	b = B
	#Implement a function that computes the determinant of a matrix.
	determinant = (b[0][0] * a[1][1] - b[0][1] * a[1][0])
	#Check whether the determinant of matrix a is large than matrix b. If yes, print ""True"", otherwise print ""False"".
","['assert matrix_determinant_([[3, 2], [2, 3]],[[3, 2], [2, 2]]) == True', 'assert matrix_determinant_([[3, 2, 5], [2, 3, 5], [3, 5, 6]],[[3, 2], [2, -3]]) == True', 'assert matrix_determinant_([[1, 5, 67, -1], [2, 3, 6, 7], [2, 3, 6, 7], [2, 3, 6, 7]],[[0, 0], [1, 4]]) == False', 'assert matrix_determinant_([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]],[[30000, 30000, 30000], [30000, 1, 1], [30000, 30000, 1]]) == False', 'assert matrix_determinant_([[1, 0, 6], [0, 1, 5], [0, 1, 4]],[[1, 0], [0, 1]]) == False']"
64,64,64,64,"['Assign the list of numbesr ""{A}"" to a variable named ""my_numbers"".', 'Implement a function that computes the exponential output of a list.', 'Implement a function that computes summation of a list.', 'Implement a function that computes log of a number.', 'Print out the log of sum exponential my_numbers.']","[{'A': [1, 3, 2, 2]}, {'A': [1000, 1000, 1000]}, {'A': [0, 0.2, 0.4, -0.2]}, {'A': [1, 0, 0, 1, 3, 2, 0, 0.2]}, {'A': [0, 3, 1, 3, 2, 2, -0.2, 0.2]}]","[3.6265233750364456, 1001.0986122886682, 1.5111541217815447, 3.6144941975988285, 4.106068918955366]",128.0,data science,Log-sum-exp,Compute the log of sum exponential input.,65,def logsumexp(A):,"def logsumexp(A):
	#Assign the list of numbesr ""{A}"" to a variable named ""my_numbers"".
	my_numbers = list(A)
	#Implement a function that computes the exponential output of a list.
	#Your function should compute the exponential of the list, and return the result.
	#Implement a function that computes summation of a list.
	#Implement a function that computes log of a number.
	#Print out the log of sum exponential my_numbers.","def logsumexp(A):
	#Assign the list of numbesr ""{A}"" to a variable named ""my_numbers"".
	my_numbers = list(A)
	#Implement a function that computes the exponential output of a list.
	#Your function should compute the exponential of the list, and return the result.
	#Implement a function that computes summation of a list.
	#Implement a function that computes log of a number.
","['assert log-sum-exp([1, 3, 2, 2]) == 3.6265233750364456', 'assert log-sum-exp([1000, 1000, 1000]) == 1001.0986122886682', 'assert log-sum-exp([0, 0.2, 0.4, -0.2]) == 1.5111541217815447', 'assert log-sum-exp([1, 0, 0, 1, 3, 2, 0, 0.2]) == 3.6144941975988285', 'assert log-sum-exp([0, 3, 1, 3, 2, 2, -0.2, 0.2]) == 4.106068918955366']"
65,65,65,65,"['Assign the list of points ""{A}"" to a variable named ""my_points"".', 'Assign the integer ""{K}"" to a variable named ""k"".', 'Implement a function that computes the distance between a point and the origin (0,0).', 'Implement a function that computes the k closest points in an array to the origin and store as result.', 'Compute the k closest points in my_points and print them out.']","[{'A': [[1, 3], [2, 2]], 'K': 1}, {'A': [[0, 0], [1, 4], [-4, 6], [7, -1]], 'K': 1}, {'A': [[0, 0], [1, 4], [-4, 6], [7, -1]], 'K': 2}, {'A': [[1, 0], [0, 1], [3, 2], [0, 0.2], [0.4, -0.2]], 'K': 2}, {'A': [[0, 3], [1, 3], [2, 2], [-0.2, 0.2], [0.5, 0.5], [1, -0.5], [2, -0.5], [2, 1]], 'K': 1}]","[[2, 2], [0, 0], [[0, 0], [1, 4]], [[0, 0.2], [0.4, -0.2]], [-0.2, 0.2]]",128.0,array,K nearest points,Find the k nearest points to the origin.,66,"def k_nearest_points(A,K):","def k_nearest_points(A,K):
	#Assign the list of points ""{A}"" to a variable named ""my_points"".
	my_points = A
	#Assign the integer ""{K}"" to a variable named ""k"".
	k = K
	#Implement a function that computes the distance between a point and the origin (0,0).
	#Return the distance as the value of the variable ""d"".
	#Implement a function that computes the k closest points in an array to the origin and store as result.
	#Compute the k closest points in my_points and print them out.","def k_nearest_points(A,K):
	#Assign the list of points ""{A}"" to a variable named ""my_points"".
	my_points = A
	#Assign the integer ""{K}"" to a variable named ""k"".
	k = K
	#Implement a function that computes the distance between a point and the origin (0,0).
	#Return the distance as the value of the variable ""d"".
	#Implement a function that computes the k closest points in an array to the origin and store as result.
","['assert k_nearest_points([[1, 3], [2, 2]],1) == [2, 2]', 'assert k_nearest_points([[0, 0], [1, 4], [-4, 6], [7, -1]],1) == [0, 0]', 'assert k_nearest_points([[0, 0], [1, 4], [-4, 6], [7, -1]],2) == [[0, 0], [1, 4]]', 'assert k_nearest_points([[1, 0], [0, 1], [3, 2], [0, 0.2], [0.4, -0.2]],2) == [[0, 0.2], [0.4, -0.2]]', 'assert k_nearest_points([[0, 3], [1, 3], [2, 2], [-0.2, 0.2], [0.5, 0.5], [1, -0.5], [2, -0.5], [2, 1]],1) == [-0.2, 0.2]']"
66,66,66,66,"['Implement a function called LCP() to find the longest common prefix of two strings', 'Initialize a variable named lst1 with a list {l1}.', 'Apply the function LCP() recusively to lst1', 'Print the the longest common prefix of the strings in lst1']","[{'l1': ['apple', 'ape', 'april']}, {'l1': ['crazy', 'car']}, {'l1': ['small', 'smart', 'smile']}, {'l1': ['inbox', 'income', 'input', 'insight']}, {'l1': ['come', 'combine', 'continue', 'compute']}]","['ap', 'c', 'sm', 'in', 'co']",256.0,algorithm,Longest common prefix,Find the longest common prefix of two strings.,67,def longest_common_prefix(l1):,"def longest_common_prefix(l1):
	#Implement a function called LCP() to find the longest common prefix of two strings
	#Input: l1, string
	#Initialize a variable named lst1 with a list {l1}.
	#Apply the function LCP() recusively to lst1 and return the longest common prefix of l1.
	#Print the the longest common prefix of the strings in lst1.","def longest_common_prefix(l1):
	#Implement a function called LCP() to find the longest common prefix of two strings
	#Input: l1, string
	#Initialize a variable named lst1 with a list {l1}.
	#Apply the function LCP() recusively to lst1 and return the longest common prefix of l1.
","[""assert longest_common_prefix(['apple', 'ape', 'april']) == 'ap'"", ""assert longest_common_prefix(['crazy', 'car']) == 'c'"", ""assert longest_common_prefix(['small', 'smart', 'smile']) == 'sm'"", ""assert longest_common_prefix(['inbox', 'income', 'input', 'insight']) == 'in'"", ""assert longest_common_prefix(['come', 'combine', 'continue', 'compute']) == 'co'""]"
67,67,67,67,"['Assigns a list {lst1} to a variable named lst1', 'Create a frequency table of elements in lst1', 'Find the elements with frequency larger than 1 and assign them to a list lst2', 'Print out lst2']","[{'lst1': [2, 3, 1, 2, 3]}, {'lst1': ['a', 'c', 'b', 'a']}, {'lst1': [3, 3, 1, 1]}, {'lst1': ['d', 'c', 'd', 'c', 'e', 'a']}, {'lst1': [1, 2, 3]}]","[[2, 3], ['a'], [3, 1], ['d', 'c'], []]",256.0,array,Duplicate elments,Find duplicates in a list.,68,def duplicate_elments(lst1):,"def duplicate_elments(lst1):
	#Assigns a list {lst1} to a variable named lst1
	lst2 = []
	#Create a frequency table of elements in lst1
	f1 = {}
	#Find the elements with frequency larger than 1 and assign them to a list lst2
	for i in lst1:
	#Print out lst2 and i in it
	print lst2,i","def duplicate_elments(lst1):
	#Assigns a list {lst1} to a variable named lst1
	lst2 = []
	#Create a frequency table of elements in lst1
	f1 = {}
	#Find the elements with frequency larger than 1 and assign them to a list lst2
	for i in lst1:
	#Print out lst2 and i in it
","['assert duplicate_elments([2, 3, 1, 2, 3]) == [2, 3]', ""assert duplicate_elments(['a', 'c', 'b', 'a']) == ['a']"", 'assert duplicate_elments([3, 3, 1, 1]) == [3, 1]', ""assert duplicate_elments(['d', 'c', 'd', 'c', 'e', 'a']) == ['d', 'c']"", 'assert duplicate_elments([1, 2, 3]) == []']"
68,68,68,68,"[""Initialize a variable named w1 with a string '{w}'"", 'Get the first non-repeating character in w1', 'Find its corresponding index and assign it to n1', 'Print out n1']","[{'w': 'popular'}, {'w': 'crunchy'}, {'w': 'barbados'}, {'w': 'alphabet'}, {'w': 'science'}]","[1, 1, 2, 1, 0]",256.0,algorithm,First unique character,Find the first non-repeating character in a string.,69,def first_unique_character(w):,"def first_unique_character(w):
	#Initialize a variable named w1 with a string '{w}'
	w1 = '{' + w + '}'
	#Get the first non-repeating character in w1
	for char in w1:
	#Find its corresponding index and assign it to n1
		n1 = w1.index(char)
	#Print out n1
	print(n1)","def first_unique_character(w):
	#Initialize a variable named w1 with a string '{w}'
	w1 = '{' + w + '}'
	#Get the first non-repeating character in w1
	for char in w1:
	#Find its corresponding index and assign it to n1
		n1 = w1.index(char)
	#Print out n1
","[""assert first_unique_character('popular') == 1"", ""assert first_unique_character('crunchy') == 1"", ""assert first_unique_character('barbados') == 2"", ""assert first_unique_character('alphabet') == 1"", ""assert first_unique_character('science') == 0""]"
69,69,69,69,"[""Assign a sentence '{s1}' to a variable named sentence1."", ""Assign a sentence '{s2}' to a variable named sentence2."", 'Split sentence1 into words and assign them to words1.', 'Split sentence2 into words and assign them to words2.', 'Find the words that appear once in both words1 and words2 and assign them to uncommon_words.', 'Print uncommon_words.']","[{'s1': 'Geeks for Geeks', 's2': 'Learning from Geeks for Geeks'}, {'s1': 'apple banana mango', 's2': 'banana fruits mango'}, {'s1': 'Seaborg spent most of his career as an educator and research scientist at the University of California, Berkeley.', 's2': 'Seaborg spent most of his career as an educator and research scientist at the University of California, Los Angeles.'}, {'s1': 'Seaborg was the principal or co-discoverer of ten elements.', 's2': 'Seaborg was the principal or co-discoverer of ten elements.'}, {'s1': 'Heavy rainfall began in earnest around 8 April.', 's2': 'rainfall began in earnest around 8 April.'}]","[['Learning', 'from'], ['apple', 'fruits'], ['Berkeley', 'Los', 'Angeles'], [], ['Heavy']]",256.0,algorithm,Uncommon words,Find uncommon words in two sentences.,70,"def uncommon_words(s1,s2):","def uncommon_words(s1,s2):
	#Assign a sentence '{s1}' to a variable named sentence1.
	sentence1=s1
	#Assign a sentence '{s2}' to a variable named sentence2.
	sentence2=s2
	#Split sentence1 into words and assign them to words1.
	words1=sentence1.split()
	#Split sentence2 into words and assign them to words2.
	words2=sentence2.split()
	#Find the words that appear once in both words1 and words2 and assign them to uncommon_words.
	uncommon_words=set(words1).intersection(words2)
	#Print uncommon_words.
	print(uncommon_words)","def uncommon_words(s1,s2):
	#Assign a sentence '{s1}' to a variable named sentence1.
	sentence1=s1
	#Assign a sentence '{s2}' to a variable named sentence2.
	sentence2=s2
	#Split sentence1 into words and assign them to words1.
	words1=sentence1.split()
	#Split sentence2 into words and assign them to words2.
	words2=sentence2.split()
	#Find the words that appear once in both words1 and words2 and assign them to uncommon_words.
	uncommon_words=set(words1).intersection(words2)
	#Print uncommon_words.
","[""assert uncommon_words('Geeks for Geeks','Learning from Geeks for Geeks') == ['Learning', 'from']"", ""assert uncommon_words('apple banana mango','banana fruits mango') == ['apple', 'fruits']"", ""assert uncommon_words('Seaborg spent most of his career as an educator and research scientist at the University of California, Berkeley.','Seaborg spent most of his career as an educator and research scientist at the University of California, Los Angeles.') == ['Berkeley', 'Los', 'Angeles']"", ""assert uncommon_words('Seaborg was the principal or co-discoverer of ten elements.','Seaborg was the principal or co-discoverer of ten elements.') == []"", ""assert uncommon_words('Heavy rainfall began in earnest around 8 April.','rainfall began in earnest around 8 April.') == ['Heavy']""]"
70,70,70,70,"[""Assign a sentence '{s1}' to a variable named sentence1."", 'Split sentence1 into words and assign them to words1.', 'Remove punctuation in words1.', 'Compute the average word length in words1 and assign it avg.', 'Print avg.']","[{'s1': 'Hi all, my name is Tom...I am originally from Australia.'}, {'s1': 'I need to work very hard to learn more about algorithms in Python!'}, {'s1': 'It received critical acclaim and continues to be praised by commentators.'}, {'s1': 'The Minute Man was intended to be placed on a local boulder by the town of Concord.'}, {'s1': 'During the height of the Cold War, teams from the Soviet Union and the United States independently created rutherfordium and dubnium.'}]","[4.5, 4.076923076923077, 5.636363636363637, 3.8823529411764706, 5.285714285714286]",256.0,algorithm,Average words length,Compute the average word length of a sentence.,71,def average_words_length(s1):,"def average_words_length(s1):
	#Assign a sentence '{s1}' to a variable named sentence1.
	sentence1 = s1
	#Split sentence1 into words and assign them to words1.
	words1 = sentence1.split()
	#Remove punctuation in words1.
	words1 = [word for word in words1 if word not in string.punctuation]
	#Compute the average word length in words1 and assign it avg. word len to avg_word_len.
	avg_word_len = int(sum(len(word) for word in words1)/len(words1))
	#Print avg. word len.
	print(avg_word_len)","def average_words_length(s1):
	#Assign a sentence '{s1}' to a variable named sentence1.
	sentence1 = s1
	#Split sentence1 into words and assign them to words1.
	words1 = sentence1.split()
	#Remove punctuation in words1.
	words1 = [word for word in words1 if word not in string.punctuation]
	#Compute the average word length in words1 and assign it avg. word len to avg_word_len.
	avg_word_len = int(sum(len(word) for word in words1)/len(words1))
	#Print avg. word len.
","[""assert average_words_length('Hi all, my name is Tom...I am originally from Australia.') == 4.5"", ""assert average_words_length('I need to work very hard to learn more about algorithms in Python!') == 4.076923076923077"", ""assert average_words_length('It received critical acclaim and continues to be praised by commentators.') == 5.636363636363637"", ""assert average_words_length('The Minute Man was intended to be placed on a local boulder by the town of Concord.') == 3.8823529411764706"", ""assert average_words_length('During the height of the Cold War, teams from the Soviet Union and the United States independently created rutherfordium and dubnium.') == 5.285714285714286""]"
71,71,71,71,"['Assigns strings {w1} and {w2} to variables w1 and w2 respectively', 'Lower-case w1 and w2', 'Count the frequency of letters in w1 and w2 and assign them to f1 and f2', 'Print if f1 is equal to f2']","[{'w1': 'find', 'w2': 'ding'}, {'w1': 'rat', 'w2': 'car'}, {'w1': 'open', 'w2': 'book'}, {'w1': 'fried', 'w2': 'fired'}, {'w1': 'listen', 'w2': 'silent'}]","[False, False, False, True, True]",256.0,string,Compare char freq,Compare the character frequencies in two strings.,72,"def compare_char_freq(w1,w2):","def compare_char_freq(w1,w2):
	#Assigns strings {w1} and {w2} to variables w1 and w2 respectively
	w1 = w1.lower()
	#Lower-case w1 and w2
	w2 = w2.lower()
	#Count the frequency of letters in w1 and w2 and assign them to f1 and f2 respectively
	f1 = w1.count('a') + w1.count('b') + w1.count('c') + w1.count('d')
	#Print if f1 is equal to f2
	print(w1,w2,f1,f2)","def compare_char_freq(w1,w2):
	#Assigns strings {w1} and {w2} to variables w1 and w2 respectively
	w1 = w1.lower()
	#Lower-case w1 and w2
	w2 = w2.lower()
	#Count the frequency of letters in w1 and w2 and assign them to f1 and f2 respectively
	f1 = w1.count('a') + w1.count('b') + w1.count('c') + w1.count('d')
	#Print if f1 is equal to f2
","[""assert compare_char_freq('find','ding') == False"", ""assert compare_char_freq('rat','car') == False"", ""assert compare_char_freq(<built-in function open>,'book') == False"", ""assert compare_char_freq('fried','fired') == True"", ""assert compare_char_freq('listen','silent') == True""]"
72,72,72,72,"['Assign a string {w} to a variable named w1', 'Concatenate the elements in w1 from end to beginning and assign it to w2', 'Print w2']","[{'w': 'abc'}, {'w': 'ape'}, {'w': 'geeksforgeeks'}, {'w': 'apple'}, {'w': 'april'}]","['cba', 'epa', 'skeegrofskeeg', 'elppa', 'lirpa']",256.0,string,Reverse string,Reverse a string.,73,def reverse_string(w):,"def reverse_string(w):
	#Assign a string {w} to a variable named w1.
	w1 = w
	#Concatenate the elements in w1 from end to beginning and assign it to w2.
	w2 = """"
	#Print w2 with the for loop
	for i in range(len(w1) - 1, -1, -1):","def reverse_string(w):
	#Assign a string {w} to a variable named w1.
	w1 = w
	#Concatenate the elements in w1 from end to beginning and assign it to w2.
	w2 = """"
	#Print w2 with the for loop
","[""assert reverse_string('abc') == 'cba'"", ""assert reverse_string('ape') == 'epa'"", ""assert reverse_string('geeksforgeeks') == 'skeegrofskeeg'"", ""assert reverse_string('apple') == 'elppa'"", ""assert reverse_string('april') == 'lirpa'""]"
