,Unnamed: 0,instruction,test_list,generated_code,gen_code,code_test
45,45,"def pandas_df_manipulation(a1,a2):
	""""""Manipulate a pandas dataframe and split into train and test set.""""""","[""assert pandas_df_manipulation(80,20) == '31956.0 14607789799.0'"", ""assert pandas_df_manipulation(50,50) == '20086.0 14607789799.0'"", ""assert pandas_df_manipulation(20,80) == '7995.0 14607789799.0'"", ""assert pandas_df_manipulation(10,90) == '3948.0 14607789799.0'"", ""assert pandas_df_manipulation(90,10) == '35891.0 14607789799.0'""]","def pandas_df_manipulation(a1,a2):
	""""""Manipulate a pandas dataframe and split into train and test set.""""""
	# Split the dataframe into train and test set
	train_df, test_df = train_test_split(a1, test_size=0.2, random_state=42)
	# Split the train and test set into train and validation set
	train_df, val_df = train_test_split(train_df, test_size=0.2, random_state=42)
	# Split the train and validation set into train and test set
	train_df, test_df = train_test_split(train_df,","def pandas_df_manipulation(a1,a2):
	""""""Manipulate a pandas dataframe and split into train and test set.""""""
	# Split the dataframe into train and test set
	train_df, test_df = train_test_split(a1, test_size=0.2, random_state=42)
	# Split the train and test set into train and validation set
	train_df, val_df = train_test_split(train_df, test_size=0.2, random_state=42)
	# Split the train and validation set into train and test set
	train_df, test_df = train_test_split(train_df,","def pandas_df_manipulation(a1,a2):
	""""""Manipulate a pandas dataframe and split into train and test set.""""""
	# Split the dataframe into train and test set
	train_df, test_df = train_test_split(a1, test_size=0.2, random_state=42)
	# Split the train and test set into train and validation set
	train_df, val_df = train_test_split(train_df, test_size=0.2, random_state=42)
	# Split the train and validation set into train and test set
	train_df, test_df = train_test_split(train_df,"
46,46,"def sum_non-overlap_range(l):
	""""""Sum the integers in a (min, max) range that don't appear in a list .""""""","['assert sum_non-overlap_range([1, 3, 5, 7, 10]) == 29', 'assert sum_non-overlap_range([10, 7, 5, 3, 1]) == 29', 'assert sum_non-overlap_range([10, 20, 30, 40, 50, 60]) == 1575', 'assert sum_non-overlap_range([-100, 100]) == 0', 'assert sum_non-overlap_range([-5, -10, 0, 10]) == 5']","def sum_non-overlap_range(l):
	""""""Sum the integers in a (min, max) range that don't appear in a list.""""""
	return sum(x for x in l if x not in l[1:])

def sum_non_overlap_range_2(l):
	""""""Sum the integers in a (min, max) range that don't appear in a list.""""""
	return sum(x for x in l if x not in l[1:])

def sum_non_overlap_range_3(l):
	""""""Sum the integers in a (min, max) range that don't appear in a list.""""""
	return sum(x for x in l if x not in l[","def sum_non-overlap_range(l):
	""""""Sum the integers in a (min, max) range that don't appear in a list.""""""
	return sum(x for x in l if x not in l[1:])","def sum_non-overlap_range(l):
	""""""Sum the integers in a (min, max) range that don't appear in a list.""""""
	return sum(x for x in l if x not in l[1:])"
47,47,"def detect_digits(l):
	""""""Find if a string contains digits.""""""","[""assert detect_digits(['1a', 'a', '2b', 'b']) == ['1a', '2b']"", ""assert detect_digits(['abc', 'abc10']) == ['abc10']"", ""assert detect_digits(['abc', 'ab10c', 'a10bc', 'bcd']) == ['ab10c', 'a10bc']"", ""assert detect_digits(['this is a test', 'test1']) == ['test1']"", ""assert detect_digits(['t0t', '11', '0']) == ['t0t', '11', '0']""]","def detect_digits(l):
	""""""Find if a string contains digits.""""""
	return any(char.isdigit() for char in l)

def detect_letters(l):
	""""""Find if a string contains letters.""""""
	return any(char.isalpha() for char in l)

def detect_punctuation(l):
	""""""Find if a string contains punctuation.""""""
	return any(char in string.punctuation for char in l)

def detect_whitespace(l):
	""""""Find if a string contains whitespace.""""""
	return any(char.isspace() for char in l)

def detect_all(l):
	""""""","def detect_digits(l):
	""""""Find if a string contains digits.""""""
	return any(char.isdigit() for char in l)","def detect_digits(l):
	""""""Find if a string contains digits.""""""
	return any(char.isdigit() for char in l)"
48,48,"def cascading_functions(a1,a2,a3,a4):
	""""""Sequentially invoke function objects in a list.""""""","['assert cascading_functions(2,2,2,1) == 8', 'assert cascading_functions(1,1,2,1) == 2', 'assert cascading_functions(2,2,2,2) == 16', 'assert cascading_functions(-2,2,2,1) == -8', 'assert cascading_functions(-2,-2,2,1) == 8']","def cascading_functions(a1,a2,a3,a4):
	""""""Sequentially invoke function objects in a list.""""""
	for f in a1:
		f(a2,a3,a4)

def cascading_functions_with_return(a1,a2,a3,a4):
	""""""Invoke function objects in a list, and return the result.""""""
	for f in a1:
		r = f(a2,a3,a4)
		if r is not None:
			return r

def cascading_functions_with_return_and_args(a1,a2,a3,a4):
	""""""Invoke function","def cascading_functions(a1,a2,a3,a4):
	""""""Sequentially invoke function objects in a list.""""""
	for f in a1:
		f(a2,a3,a4)","def cascading_functions(a1,a2,a3,a4):
	""""""Sequentially invoke function objects in a list.""""""
	for f in a1:
		f(a2,a3,a4)"
49,49,"def pluralize_duplicates(a1):
	""""""Pluralize duplicated words in a list.""""""","[""assert pluralize_duplicates(['chair', 'pencil', 'arm', 'arm']) == True"", ""assert pluralize_duplicates(['arm', 'arm', 'arm', 'arm']) == True"", ""assert pluralize_duplicates(['chair', 'arm', 'pencil', 'arm']) == True"", ""assert pluralize_duplicates(['chair', 'pencil', 'arm']) == False"", ""assert pluralize_duplicates(['chair', 'pencil', 'table']) == False""]","def pluralize_duplicates(a1):
	""""""Pluralize duplicated words in a list.""""""
	a2 = []
	for word in a1:
		if word not in a2:
			a2.append(word)
	return a2

def get_word_count(a1):
	""""""Get the number of words in a list.""""""
	return len(a1)

def get_word_count_with_duplicates(a1):
	""""""Get the number of words in a list, including duplicates.""""""
	return len(pluralize_duplicates(a1))

def get_word_count_with_duplicates_and_","def pluralize_duplicates(a1):
	""""""Pluralize duplicated words in a list.""""""
	a2 = []
	for word in a1:
		if word not in a2:
			a2.append(word)
	return a2","def pluralize_duplicates(a1):
	""""""Pluralize duplicated words in a list.""""""
	a2 = []
	for word in a1:
		if word not in a2:
			a2.append(word)
	return a2"
50,50,"def highest_altitude(A):
	""""""Given relative altitudes , find the highest altitude.""""""","['assert highest_altitude([1, 2, 3, 4]) == 10', 'assert highest_altitude([-1, 2, 3, 4]) == 8', 'assert highest_altitude([-1, -2, -3, -4]) == 0', 'assert highest_altitude([-1000000, 1, 2]) == 0', 'assert highest_altitude([-5, 1, 5, 0, -10]) == 1']","def highest_altitude(A):
	""""""Given relative altitudes, find the highest altitude.""""""
	return max(A)

def lowest_altitude(A):
	""""""Given relative altitudes, find the lowest altitude.""""""
	return min(A)

def highest_altitude_index(A):
	""""""Given relative altitudes, find the highest altitude index.""""""
	return A.index(max(A))

def lowest_altitude_index(A):
	""""""Given relative altitudes, find the lowest altitude index.""""""
	return A.index(min(A))

def highest_altitude_index_with_altitude(A):
	""""""Given relative","def highest_altitude(A):
	""""""Given relative altitudes, find the highest altitude.""""""
	return max(A)","def highest_altitude(A):
	""""""Given relative altitudes, find the highest altitude.""""""
	return max(A)"
51,51,"def truncate_words(A,K):
	""""""Truncate a sentence so that it contains k words.""""""","[""assert truncate_words(['hello', 'world'],1) == ['hello']"", ""assert truncate_words(['hello', 'how', 'are', 'you', 'Jim'],4) == ['hello', 'how', 'are', 'you']"", ""assert truncate_words(['China', 'is', 'a', 'large', 'country'],1) == ['China']"", ""assert truncate_words(['yes', 'yes', 'yes', 'yes', 'yes'],4) == ['yes', 'yes', 'yes', 'yes']"", ""assert truncate_words(['what', 'is', 'your', 'name'],1) == ['what']""]","def truncate_words(A,K):
	""""""Truncate a sentence so that it contains k words.""""""
	if len(A) <= K:
		return A
	else:
		return A[:K]

def get_word_counts(A):
	""""""Get a dictionary of word counts for a sentence.""""""
	word_counts = {}
	for word in A:
		if word in word_counts:
			word_counts[word] += 1
		else:
			word_counts[word] = 1
	return word_counts

def get_word_counts_from_file(filename):
	""""""Get a dictionary of word counts","def truncate_words(A,K):
	""""""Truncate a sentence so that it contains k words.""""""
	if len(A) <= K:
		return A
	else:
		return A[:K]","def truncate_words(A,K):
	""""""Truncate a sentence so that it contains k words.""""""
	if len(A) <= K:
		return A
	else:
		return A[:K]"
52,52,"def single_element(A):
	""""""Find the elements that appear one time in an array.""""""","['assert single_element([1, 2, 2, 2]) == 1', 'assert single_element([-1, 4, 4, 4, 4, 4]) == -1', 'assert single_element([-1, -4, 8, -4, 8]) == -1', 'assert single_element([-1000000, 1, 1]) == -1000000', 'assert single_element([10000, 2, 2, 2, 2, 2]) == 10000']","def single_element(A):
	""""""Find the elements that appear one time in an array.""""""
	return [i for i, x in enumerate(A) if x == 1]

def single_element_index(A):
	""""""Find the index of the first element that appears one time in an array.""""""
	return [i for i, x in enumerate(A) if x == 1][0]

def single_element_index_2(A):
	""""""Find the index of the first element that appears one time in an array.""""""
	return [i for i, x in enumerate(A) if x == 1][0]

def single","def single_element(A):
	""""""Find the elements that appear one time in an array.""""""
	return [i for i, x in enumerate(A) if x == 1]","def single_element(A):
	""""""Find the elements that appear one time in an array.""""""
	return [i for i, x in enumerate(A) if x == 1]"
53,53,"def remove_elements(A,Val):
	""""""Remove all the occurrences of an element in an array.""""""","['assert remove_elements([1, 2, 2, 2],2) == [1]', 'assert remove_elements([-1, 4, 4, 4, 4, 4],4) == [-1]', 'assert remove_elements([-1, -4, 8, -4, 8],-1) == [-4, 8, -4, 8]', 'assert remove_elements([-1000000, 1, 1],1) == [-1000000]', 'assert remove_elements([10000, 2, 2, 2, 2, 2],2) == [10000]']","def remove_elements(A,Val):
	""""""Remove all the occurrences of an element in an array.""""""
	A.remove(Val)
	return A

def remove_duplicates(A):
	""""""Remove all duplicates from an array.""""""
	A = list(set(A))
	return A

def remove_duplicates_in_place(A):
	""""""Remove all duplicates from an array in place.""""""
	A.sort()
	for i in range(len(A)-1):
		if A[i] == A[i+1]:
			A.remove(A[i])
	return A

def remove_duplicates_in_place_","def remove_elements(A,Val):
	""""""Remove all the occurrences of an element in an array.""""""
	A.remove(Val)
	return A","def remove_elements(A,Val):
	""""""Remove all the occurrences of an element in an array.""""""
	A.remove(Val)
	return A"
54,54,"def check_array_sum(A,Val):
	""""""Check whether the sum of an array is equal to a given value.""""""","['assert check_array_sum([1, 2, 2, 2],2) == False', 'assert check_array_sum([-1, 5],4) == True', 'assert check_array_sum([-1, -1, -1, -1, 1],-5) == True', 'assert check_array_sum([-1000000, 1, 1],1) == False', 'assert check_array_sum([10000, 2, 2, 2, 2, 2],2) == False']","def check_array_sum(A,Val):
	""""""Check whether the sum of an array is equal to a given value.""""""
	return sum(A) == Val

def check_array_sum_2(A,Val):
	""""""Check whether the sum of an array is equal to a given value.""""""
	return sum(A) == Val

def check_array_sum_3(A,Val):
	""""""Check whether the sum of an array is equal to a given value.""""""
	return sum(A) == Val

def check_array_sum_4(A,Val):
	""""""Check whether the sum of an array is equal to a given value.""""""
	return sum(","def check_array_sum(A,Val):
	""""""Check whether the sum of an array is equal to a given value.""""""
	return sum(A) == Val","def check_array_sum(A,Val):
	""""""Check whether the sum of an array is equal to a given value.""""""
	return sum(A) == Val"
55,55,"def merge_sorted_lists(A,B):
	""""""Merge two sorted lists into one.""""""","['assert merge_sorted_lists([1, 2, 2, 2],[3, 4]) == [1, 2, 2, 2, 3, 4]', 'assert merge_sorted_lists([-1, 5],[1, 2]) == [-1, 1, 2, 5]', 'assert merge_sorted_lists([-1, -1, -1, -1, 1],[-1, 8]) == [-1, -1, -1, -1, -1, 1, 8]', 'assert merge_sorted_lists([-1000000, 1, 1],[1, 6]) == [-1000000, 1, 1, 1, 8]', 'assert merge_sorted_lists([2, 2, 2, 2, 2, 10000],[-2, -1]) == [-2, -1, 2, 2, 2, 2, 2, 10000]']","def merge_sorted_lists(A,B):
	""""""Merge two sorted lists into one.""""""
	i = j = k = 0
	result = []
	while i < len(A) and j < len(B):
		if A[i] < B[j]:
			result.append(A[i])
			i += 1
		else:
			result.append(B[j])
			j += 1
	result += A[i:]
	result += B[j:]
	return result

def merge_sorted_lists_recursive(A,B):
	""""""Merge two sorted lists into one.""""""
	if len","def merge_sorted_lists(A,B):
	""""""Merge two sorted lists into one.""""""
	i = j = k = 0
	result = []
	while i < len(A) and j < len(B):
		if A[i] < B[j]:
			result.append(A[i])
			i += 1
		else:
			result.append(B[j])
			j += 1
	result += A[i:]
	result += B[j:]
	return result","def merge_sorted_lists(A,B):
	""""""Merge two sorted lists into one.""""""
	i = j = k = 0
	result = []
	while i < len(A) and j < len(B):
		if A[i] < B[j]:
			result.append(A[i])
			i += 1
		else:
			result.append(B[j])
			j += 1
	result += A[i:]
	result += B[j:]
	return result"
56,56,"def maximum_subarray(A):
	""""""Find the max contiguous subarray and return the sum.""""""","['assert maximum_subarray([1]) == 1', 'assert maximum_subarray([-1, 5]) == 5', 'assert maximum_subarray([-1, -1, -1, -1, 1]) == 1', 'assert maximum_subarray([-1000000, 1, 1]) == 2', 'assert maximum_subarray([2, 2, 2, 2, 2, 10000],[-2, -1]) == 10010']","def maximum_subarray(A):
	""""""Find the max contiguous subarray and return the sum.""""""
	max_so_far = A[0]
	max_ending_here = A[0]
	for i in range(1, len(A)):
		max_ending_here = max(max_ending_here + A[i], A[i])
		max_so_far = max(max_so_far, max_ending_here)
	return max_so_far

def maximum_subarray_2(A):
	""""""Find the max contiguous subarray and return the sum.""""""
	max_so_far = A[0]","def maximum_subarray(A):
	""""""Find the max contiguous subarray and return the sum.""""""
	max_so_far = A[0]
	max_ending_here = A[0]
	for i in range(1, len(A)):
		max_ending_here = max(max_ending_here + A[i], A[i])
		max_so_far = max(max_so_far, max_ending_here)
	return max_so_far","def maximum_subarray(A):
	""""""Find the max contiguous subarray and return the sum.""""""
	max_so_far = A[0]
	max_ending_here = A[0]
	for i in range(1, len(A)):
		max_ending_here = max(max_ending_here + A[i], A[i])
		max_so_far = max(max_so_far, max_ending_here)
	return max_so_far"
57,57,"def max_square_root_integer(A):
	""""""Compute the largest integer but not larger than square root of one positive number.""""""","['assert max_square_root_integer(1) == 1', 'assert max_square_root_integer(5) == 2', 'assert max_square_root_integer(101) == 10', 'assert max_square_root_integer(30) == 5', 'assert max_square_root_integer(10000) == 100']","def max_square_root_integer(A):
	""""""Compute the largest integer but not larger than square root of one positive number.""""""
	if A < 0:
		raise ValueError(""A must be a positive integer."")
	if A == 0:
		return 0
	if A == 1:
		return 1
	if A == 2:
		return 2
	if A == 3:
		return 3
	if A == 4:
		return 4
	if A == 5:
		return 5
	if A == 6:
		return 6
	if A == 7:
		return 7
	if A","def max_square_root_integer(A):
	""""""Compute the largest integer but not larger than square root of one positive number.""""""
	if A < 0:
		raise ValueError(""A must be a positive integer."")
	if A == 0:
		return 0
	if A == 1:
		return 1
	if A == 2:
		return 2
	if A == 3:
		return 3
	if A == 4:
		return 4
	if A == 5:
		return 5
	if A == 6:
		return 6
	if A == 7:
		return 7
	if A","def max_square_root_integer(A):
	""""""Compute the largest integer but not larger than square root of one positive number.""""""
	if A < 0:
		raise ValueError(""A must be a positive integer."")
	if A == 0:
		return 0
	if A == 1:
		return 1
	if A == 2:
		return 2
	if A == 3:
		return 3
	if A == 4:
		return 4
	if A == 5:
		return 5
	if A == 6:
		return 6
	if A == 7:
		return 7
	if A"
58,58,"def longest_word(A):
	""""""Find the longest word in a word list.""""""","[""assert longest_word(['Hello', 'word']) == 'Hello'"", ""assert longest_word(['a', 'good', 'place']) == 'place'"", ""assert longest_word(['the', 'last', 'word', 'in', 'the', 'sentence']) == 'sentence'"", ""assert longest_word(['good']) == 'good'"", ""assert longest_word(['There', 'will', 'be', 'a', 'joy']) == 'There'""]","def longest_word(A):
	""""""Find the longest word in a word list.""""""
	longest = """"
	for word in A:
		if len(word) > len(longest):
			longest = word
	return longest

def longest_word_list(A):
	""""""Find the longest word in a word list.""""""
	longest = """"
	for word in A:
		if len(word) > len(longest):
			longest = word
	return longest

def longest_word_list_2(A):
	""""""Find the longest word in a word list.""""""
	longest = """"
	for word in A:
		","def longest_word(A):
	""""""Find the longest word in a word list.""""""
	longest = """"
	for word in A:
		if len(word) > len(longest):
			longest = word
	return longest","def longest_word(A):
	""""""Find the longest word in a word list.""""""
	longest = """"
	for word in A:
		if len(word) > len(longest):
			longest = word
	return longest"
59,59,"def sum_unique_elements(A):
	""""""Sum all the unique numbers in a list.""""""","['assert sum_unique_elements([1, 2, 3]) == 6', 'assert sum_unique_elements([1, 1, 1, 1]) == 0', 'assert sum_unique_elements([-1, -2, -3, -3]) == -3', 'assert sum_unique_elements([-1000000, 1, 1, 2, 2, 3, 3, 3, 3]) == -1000000', 'assert sum_unique_elements([-5, 1, -5, 0, -10]) == -9']","def sum_unique_elements(A):
	""""""Sum all the unique numbers in a list.""""""
	return sum(set(A))

def sum_unique_elements_2(A):
	""""""Sum all the unique numbers in a list.""""""
	return sum(set(A))

def sum_unique_elements_3(A):
	""""""Sum all the unique numbers in a list.""""""
	return sum(set(A))

def sum_unique_elements_4(A):
	""""""Sum all the unique numbers in a list.""""""
	return sum(set(A))

def sum_unique_elements_5(A):
	""""""Sum","def sum_unique_elements(A):
	""""""Sum all the unique numbers in a list.""""""
	return sum(set(A))","def sum_unique_elements(A):
	""""""Sum all the unique numbers in a list.""""""
	return sum(set(A))"
60,60,"def digonal_sum(A):
	""""""Compute the digonal sum of a matrix.""""""","['assert digonal_sum([[3, 2], [2, 3]]) == 6', 'assert digonal_sum([[3, 2, 5], [2, 3, 5]]) == 6', 'assert digonal_sum([1]) == 1', 'assert digonal_sum([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]]) == 60001', 'assert digonal_sum([5, 5, 5, 5, 5, 0]) == 5']","def digonal_sum(A):
	""""""Compute the digonal sum of a matrix.""""""
	return sum(sum(row) for row in A)

def main():
	""""""Main function.""""""
	# Read the input
	with open(sys.argv[1], 'r') as f:
		lines = f.readlines()

	# Parse the input
	N, M = map(int, lines[0].split())
	A = [[int(x) for x in line.split()] for line in lines[1:]]

	# Compute the result
	print(digonal_sum(A))

if __name__ == '__main__':","def digonal_sum(A):
	""""""Compute the digonal sum of a matrix.""""""
	return sum(sum(row) for row in A)","def digonal_sum(A):
	""""""Compute the digonal sum of a matrix.""""""
	return sum(sum(row) for row in A)"
61,61,"def matrix_condition_number(A,T):
	""""""Check conditon number of a matrix is less than a threshold.""""""","['assert matrix_condition_number([[3, 2], [2, 3]],1) == False', 'assert matrix_condition_number([[3, 2, 5], [2, 3, 5]],-1) == False', 'assert matrix_condition_number([[1, 5]],2) == True', 'assert matrix_condition_number([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]],100) == False', 'assert matrix_condition_number([[5, 5, 5, 5, 5, 0]],0.5) == False']","def matrix_condition_number(A,T):
	""""""Check conditon number of a matrix is less than a threshold.""""""
	return np.linalg.cond(A) < T

def matrix_rank(A):
	""""""Check rank of a matrix.""""""
	return np.linalg.matrix_rank(A)

def matrix_eig(A):
	""""""Check eigenvalues and eigenvectors of a matrix.""""""
	return np.linalg.eig(A)

def matrix_eigvals(A):
	""""""Check eigenvalues of a matrix.""""""
	return np.linalg.eigvals(A)

def matrix_eigvecs(A):
	""""""Check eigenvectors of","def matrix_condition_number(A,T):
	""""""Check conditon number of a matrix is less than a threshold.""""""
	return np.linalg.cond(A) < T","def matrix_condition_number(A,T):
	""""""Check conditon number of a matrix is less than a threshold.""""""
	return np.linalg.cond(A) < T"
62,62,"def matrix_multiplication_sum(A,B):
	""""""Compute matrix multiplication sum of two matrices.""""""","['assert matrix_multiplication_sum([[3, 2], [2, 3]],[[3, 2], [2, 3]]) == 50', 'assert matrix_multiplication_sum([[3, 2, 5], [2, 3, 5]],[[1, 0], [0, 1], [2, -2]]) == 10', 'assert matrix_multiplication_sum([[1, 5, 67, -1]],[[-1], [0], [0], [-1]]) == 0', 'assert matrix_multiplication_sum([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]],[[1, 0, 6], [0, 1, 5], [0, 1, 4]]) == 1170015', 'assert matrix_multiplication_sum([[5, 5, 5, 5, 5, 0]],[[-1], [-1], [-1], [-1], [-1], [1000]]) == -25']","def matrix_multiplication_sum(A,B):
	""""""Compute matrix multiplication sum of two matrices.""""""
	return np.sum(np.multiply(A,B))

def matrix_multiplication_product(A,B):
	""""""Compute matrix multiplication product of two matrices.""""""
	return np.multiply(A,B)

def matrix_multiplication_transpose(A):
	""""""Compute matrix multiplication transpose of a matrix.""""""
	return np.transpose(A)

def matrix_multiplication_determinant(A):
	""""""Compute matrix multiplication determinant of a matrix.""""""
	return np.linalg.det(A)

def matrix_multiplication_inverse","def matrix_multiplication_sum(A,B):
	""""""Compute matrix multiplication sum of two matrices.""""""
	return np.sum(np.multiply(A,B))","def matrix_multiplication_sum(A,B):
	""""""Compute matrix multiplication sum of two matrices.""""""
	return np.sum(np.multiply(A,B))"
63,63,"def matrix_determinant_(A,B):
	""""""Compare two matrix determinants.""""""","['assert matrix_determinant_([[3, 2], [2, 3]],[[3, 2], [2, 2]]) == True', 'assert matrix_determinant_([[3, 2, 5], [2, 3, 5], [3, 5, 6]],[[3, 2], [2, -3]]) == True', 'assert matrix_determinant_([[1, 5, 67, -1], [2, 3, 6, 7], [2, 3, 6, 7], [2, 3, 6, 7]],[[0, 0], [1, 4]]) == False', 'assert matrix_determinant_([[30000, 30000, 1], [30000, 30000, 1], [30000, 30000, 1]],[[30000, 30000, 30000], [30000, 1, 1], [30000, 30000, 1]]) == False', 'assert matrix_determinant_([[1, 0, 6], [0, 1, 5], [0, 1, 4]],[[1, 0], [0, 1]]) == False']","def matrix_determinant_(A,B):
	""""""Compare two matrix determinants.""""""
	if A.shape[0]!= A.shape[1]:
		raise ValueError(""Matrix must be square."")
	if B.shape[0]!= B.shape[1]:
		raise ValueError(""Matrix must be square."")
	if A.shape[0]!= B.shape[0]:
		raise ValueError(""Matrix must be square."")
	if A.shape[0]!= B.shape[1]:
		raise ValueError(""Matrix must be square."")
	if A.shape[0]!= B.shape[0]:
		raise ValueError(""Matrix must be","def matrix_determinant_(A,B):
	""""""Compare two matrix determinants.""""""
	if A.shape[0]!= A.shape[1]:
		raise ValueError(""Matrix must be square."")
	if B.shape[0]!= B.shape[1]:
		raise ValueError(""Matrix must be square."")
	if A.shape[0]!= B.shape[0]:
		raise ValueError(""Matrix must be square."")
	if A.shape[0]!= B.shape[1]:
		raise ValueError(""Matrix must be square."")
	if A.shape[0]!= B.shape[0]:
		raise ValueError(""Matrix must be","def matrix_determinant_(A,B):
	""""""Compare two matrix determinants.""""""
	if A.shape[0]!= A.shape[1]:
		raise ValueError(""Matrix must be square."")
	if B.shape[0]!= B.shape[1]:
		raise ValueError(""Matrix must be square."")
	if A.shape[0]!= B.shape[0]:
		raise ValueError(""Matrix must be square."")
	if A.shape[0]!= B.shape[1]:
		raise ValueError(""Matrix must be square."")
	if A.shape[0]!= B.shape[0]:
		raise ValueError(""Matrix must be"
64,64,"def log-sum-exp(A):
	""""""Compute the log of sum exponential input.""""""","['assert log-sum-exp([1, 3, 2, 2]) == 3.6265233750364456', 'assert log-sum-exp([1000, 1000, 1000]) == 1001.0986122886682', 'assert log-sum-exp([0, 0.2, 0.4, -0.2]) == 1.5111541217815447', 'assert log-sum-exp([1, 0, 0, 1, 3, 2, 0, 0.2]) == 3.6144941975988285', 'assert log-sum-exp([0, 3, 1, 3, 2, 2, -0.2, 0.2]) == 4.106068918955366']","def log-sum-exp(A):
	""""""Compute the log of sum exponential input.""""""
	A = np.asarray(A)
	if A.ndim == 1:
		A = A[:, None]
	A = np.log(np.sum(np.exp(A), axis=1))
	return A

def log_sum_exp_2d(A):
	""""""Compute the log of sum exponential input.""""""
	A = np.asarray(A)
	if A.ndim == 1:
		A = A[:, None]
	A = np.log(np.sum(np.exp(A), axis=1","def log-sum-exp(A):
	""""""Compute the log of sum exponential input.""""""
	A = np.asarray(A)
	if A.ndim == 1:
		A = A[:, None]
	A = np.log(np.sum(np.exp(A), axis=1))
	return A","def log-sum-exp(A):
	""""""Compute the log of sum exponential input.""""""
	A = np.asarray(A)
	if A.ndim == 1:
		A = A[:, None]
	A = np.log(np.sum(np.exp(A), axis=1))
	return A"
65,65,"def k_nearest_points(A,K):
	""""""Find the k nearest points to the origin.""""""","['assert k_nearest_points([[1, 3], [2, 2]],1) == [2, 2]', 'assert k_nearest_points([[0, 0], [1, 4], [-4, 6], [7, -1]],1) == [0, 0]', 'assert k_nearest_points([[0, 0], [1, 4], [-4, 6], [7, -1]],2) == [[0, 0], [1, 4]]', 'assert k_nearest_points([[1, 0], [0, 1], [3, 2], [0, 0.2], [0.4, -0.2]],2) == [[0, 0.2], [0.4, -0.2]]', 'assert k_nearest_points([[0, 3], [1, 3], [2, 2], [-0.2, 0.2], [0.5, 0.5], [1, -0.5], [2, -0.5], [2, 1]],1) == [-0.2, 0.2]']","def k_nearest_points(A,K):
	""""""Find the k nearest points to the origin.""""""
	# Find the k nearest points to the origin
	# A is a 2D numpy array of shape (N,2)
	# K is an integer
	# Return a 2D numpy array of shape (K,2)
	# The first column is the x coordinate
	# The second column is the y coordinate
	# The third column is the distance from the origin
	# The fourth column is the index of the nearest point
	# The fifth column is the distance from the origin
	# The sixth column is the index of the nearest point
	#","def k_nearest_points(A,K):
	""""""Find the k nearest points to the origin.""""""
	# Find the k nearest points to the origin
	# A is a 2D numpy array of shape (N,2)
	# K is an integer
	# Return a 2D numpy array of shape (K,2)
	# The first column is the x coordinate
	# The second column is the y coordinate
	# The third column is the distance from the origin
	# The fourth column is the index of the nearest point
	# The fifth column is the distance from the origin
	# The sixth column is the index of the nearest point
	#","def k_nearest_points(A,K):
	""""""Find the k nearest points to the origin.""""""
	# Find the k nearest points to the origin
	# A is a 2D numpy array of shape (N,2)
	# K is an integer
	# Return a 2D numpy array of shape (K,2)
	# The first column is the x coordinate
	# The second column is the y coordinate
	# The third column is the distance from the origin
	# The fourth column is the index of the nearest point
	# The fifth column is the distance from the origin
	# The sixth column is the index of the nearest point
	#"
66,66,"def longest_common_prefix(l1):
	""""""Find the longest common prefix of two strings.""""""","[""assert longest_common_prefix(['apple', 'ape', 'april']) == 'ap'"", ""assert longest_common_prefix(['crazy', 'car']) == 'c'"", ""assert longest_common_prefix(['small', 'smart', 'smile']) == 'sm'"", ""assert longest_common_prefix(['inbox', 'income', 'input', 'insight']) == 'in'"", ""assert longest_common_prefix(['come', 'combine', 'continue', 'compute']) == 'co'""]","def longest_common_prefix(l1):
	""""""Find the longest common prefix of two strings.""""""
	if len(l1) == 0:
		return """"
	if len(l1) == 1:
		return l1[0]
	if len(l1) == 2:
		return l1[0] if l1[0] == l1[1] else """"
	if len(l1) == 3:
		return l1[0] if l1[0] == l1[1] and l1[1] == l1[2] else """"
	if len(l1) == 4:","def longest_common_prefix(l1):
	""""""Find the longest common prefix of two strings.""""""
	if len(l1) == 0:
		return """"
	if len(l1) == 1:
		return l1[0]
	if len(l1) == 2:
		return l1[0] if l1[0] == l1[1] else """"
	if len(l1) == 3:
		return l1[0] if l1[0] == l1[1] and l1[1] == l1[2] else """"
	if len(l1) == 4:","def longest_common_prefix(l1):
	""""""Find the longest common prefix of two strings.""""""
	if len(l1) == 0:
		return """"
	if len(l1) == 1:
		return l1[0]
	if len(l1) == 2:
		return l1[0] if l1[0] == l1[1] else """"
	if len(l1) == 3:
		return l1[0] if l1[0] == l1[1] and l1[1] == l1[2] else """"
	if len(l1) == 4:"
